"id";"nome";"instituicao_id";"telefone";"instituicao";"endereco";"bairro";"bairro_zona";"area_construida";"area_terrestre";"coordinates_x";"coordinates_y";"matriculas_qtd";"fundamental_qtd";"infantil_qtd";"professores_qtd";"auxiliares_qtd";"coordenador_qtd";"ativo";"anexo";"modalidade_fund";"modalidade_inf"
29;E.M.E.F. JOZIAS LEÃO DA SILVA;29;"98128-2011";E.M.E.F. JOZIAS LEÃO DA SILVA;RUA SALMEN;MARANHÃO;URBANA;1997.2;3408.69;-49.897808253640186;-6.066503487621162;219;219;;12;;1;true;false;true;false
30;E.M.E.F. LUÍZ MAGNO DE ARAÚJO;30;"9955-6764";E.M.E.F. LUÍZ MAGNO DE ARAÚJO;RUA DO ITAUAJURI;AMAZÔNIA;URBANA;2831.33;4890.9;-49.86520948525386;-6.100354769088071;771;771;;26;;2;true;false;true;false
31;E.M.E.F. MACHADO DE ASSIS;31;"99175-6331";E.M.E.F. MACHADO DE ASSIS;RUA TOM JOBIM;NOVA VIDA;URBANA;860.61;899.78;-49.8930785613159;-6.086257032999512;290;290;;9;;1;true;false;true;false
32;E.M.E.F. MÁRIO LAGO;32;"98104-3307";E.M.E.F. MÁRIO LAGO;AVENIDA VS 10;BRASÍLIA;URBANA;977.99;993.87;-49.903232792659686;-6.123307637997982;1210;1210;;24;19;3;true;false;true;false
33;E.M.E.F. MILTON ALVES MARTINS;33;"98183-4447";E.M.E.F. MILTON ALVES MARTINS;AVENIDA PARAUAPEBAS;NOVA CARAJÁS;URBANA;1615.56;1718.55;-49.83714811850843;-6.103720702566008;1474;1474;;55;13;4;true;false;true;false
34;E.M.E.F. MOIKÔ XIKRIN;34;"99147-7101 e 98142-4944";E.M.E.F. MOIKÔ XIKRIN;TERRA INDÍGENA KATETÉ - ALDEIA DJU-DJE-KÔ;ALDEIA INDÍGENA;INDÍGENA;;;;;202;189;13;16;;3;true;false;true;true
35;E.M.E.F. MONTEIRO LOBATO;35;"99909-7318";E.M.E.F. MONTEIRO LOBATO;AVENIDA SANTA MARTA;DA PAZ;RURAL;275.09;303.73;-49.886015368030435;-6.081869327143636;258;207;51;10;4;1;true;false;true;true
36;E.M.E.F. NELSON MANDELA;36;"99135-5645";E.M.E.F. NELSON MANDELA;RUA GOV. JUSTO CHERMONT;TROPICAL;URBANA;4803.76;7668.59;-49.89009727515917;-6.033371057822578;1038;1038;;45;20;3;true;false;true;false
37;E.M.E.F. NOVO HORIZONTE;37;"99160-6001";E.M.E.F. NOVO HORIZONTE;RUA 81;JARDIM CANADÁ;URBANA;2568.42;5003.92;-49.894008598726515;-6.0609738839417275;1297;1297;;44;12;4;true;false;true;false
38;E.M.E.F. OLGA DA SILVA SOUSA;38;"99255-3740";E.M.E.F. OLGA DA SILVA SOUSA;RUA SANTO ANTÔNIO;ALTAMIRA;URBANA;2262.6;4421.34;-49.89017454488061;-6.053277316083424;1028;1028;;38;18;4;true;false;true;false
39;E.M.E.F. OZIEL ALVES PEREIRA;39;"99174-2805";E.M.E.F. OZIEL ALVES PEREIRA;RUA 22 DE MARÇO, QD. ESPECIAL S/N ;PALMARES II;RURAL;3318.31;6257.65;-49.841237835791866;-5.947843300021731;747;747;0;19;5;2;true;false;true;true
40;E.M.E.F. PAULO FREIRE;40;"99114-3190";E.M.E.F. PAULO FREIRE;RUA PORTO VELHO, QD, QUADRA ESPECIAL;PALMARES SUL;URBANA;3431.97;6534.14;-49.889439010376066;-5.9961893213120305;772;772;;25;;2;true;false;true;false
41;E.M.E.F. PLÁCIDO DE CASTRO;41;"99204-0352";E.M.E.F. PLÁCIDO DE CASTRO;RUA JORGE AMADO, S/N;BELA VISTA;URBANA;;;;;743;743;;25;18;2;true;false;true;false
